시간,거래유형,가격,수량,거래금액,수수료,분할,보유수량,잔고,누적수익,누적수익률,누적수수료
2025-06-13 19:04:01,buy,50000000,0.019992,999600.0,400.0,1/10,0.019992,9000000.0,0.0,0.00%,400.0
2025-06-13 19:09:01,buy,50000000,0.019992,999600.0,400.0,2/10,0.039984,8000000.0,0.0,0.00%,800.0
2025-06-13 19:14:01,buy,50000000,0.019992,999600.0,400.0,3/10,0.059976,7000000.0,0.0,0.00%,1200.0
2025-06-13 19:19:01,buy,50000000,0.019992,999600.0,400.0,4/10,0.079968,6000000.0,0.0,0.00%,1600.0
2025-06-13 19:24:01,buy,50000000,0.019992,999600.0,400.0,5/10,0.09996,5000000.0,0.0,0.00%,2000.0
2025-06-13 19:29:01,buy,50000000,0.019992,999600.0,400.0,6/10,0.11995199999999999,4000000.0,0.0,0.00%,2400.0
2025-06-13 19:34:01,buy,50000000,0.019992,999600.0,400.0,7/10,0.13994399999999999,3000000.0,0.0,0.00%,2800.0
2025-06-13 19:39:01,buy,50000000,0.019992,999600.0,400.0,8/10,0.159936,2000000.0,0.0,0.00%,3200.0
2025-06-13 19:44:01,buy,50000000,0.019992,999600.0,400.0,9/10,0.179928,1000000.0,0.0,0.00%,3600.0
2025-06-13 19:49:01,buy,50000000,0.019992,999600.0,400.0,10/10,0.19992000000000001,0.0,0.0,0.00%,4000.0
2025-06-13 20:04:01,sell,51000000,0.019992000000000003,1019592.0000000001,407.83680000000004,1/10,0.179928,1019184.1632000001,1019184.1632000001,10.19%,4407.8368
2025-06-13 20:09:01,sell,51000000,0.019992,1019592.0,407.83680000000004,2/10,0.159936,2038368.3264000001,2038368.3264000001,20.38%,4815.6736
2025-06-13 20:14:01,sell,51000000,0.019992,1019592.0,407.83680000000004,3/10,0.13994399999999999,3057552.4896,3057552.4896,30.58%,5223.5104
2025-06-13 20:19:01,sell,51000000,0.019992,1019592.0,407.83680000000004,4/10,0.11995199999999999,4076736.6528,4076736.6528,40.77%,5631.3472
2025-06-13 20:24:01,sell,51000000,0.019992,1019592.0,407.83680000000004,5/10,0.09996,5095920.816,5095920.816,50.96%,6039.184
2025-06-13 20:29:01,sell,51000000,0.019992,1019592.0,407.83680000000004,6/10,0.079968,6115104.9792,6115104.9792,61.15%,6447.0208
2025-06-13 20:34:01,sell,51000000,0.019992,1019592.0,407.83680000000004,7/10,0.059976,7134289.1424,7134289.1424,71.34%,6854.8576
2025-06-13 20:39:01,sell,51000000,0.019992,1019592.0,407.83680000000004,8/10,0.039984000000000006,8153473.305600001,8153473.305600001,81.53%,7262.6944
2025-06-13 20:44:01,sell,51000000,0.019992000000000003,1019592.0000000001,407.83680000000004,9/10,0.019992000000000003,9172657.4688,9172657.4688,91.73%,7670.5312
2025-06-13 20:49:01,sell,51000000,0.019992000000000003,1019592.0000000001,407.83680000000004,10/10,0.0,10191841.632000001,10191841.632000001,101.92%,8078.368
