시간,거래유형,가격,수량,거래금액,수수료,분할,보유수량,잔고,누적수익,누적수익률,누적수수료
2025-06-13 17:58:45,buy,50000000,0.1,5000000.0,2000.0,1/10,0.1,-4902000.0,0.0,0.00%,2000.0
2025-06-13 18:03:45,buy,50000000,0.1,5000000.0,2000.0,2/10,0.2,-9904000.0,0.0,0.00%,4000.0
2025-06-13 18:08:45,buy,50000000,0.1,5000000.0,2000.0,3/10,0.30000000000000004,-14906000.0,0.0,0.00%,6000.0
2025-06-13 18:13:45,buy,50000000,0.1,5000000.0,2000.0,4/10,0.4,-19908000.0,0.0,0.00%,8000.0
2025-06-13 18:18:45,buy,50000000,0.1,5000000.0,2000.0,5/10,0.5,-24910000.0,0.0,0.00%,10000.0
2025-06-13 18:23:45,buy,50000000,0.1,5000000.0,2000.0,6/10,0.6000000000000001,-29912000.0,0.0,0.00%,12000.0
2025-06-13 18:28:45,buy,50000000,0.1,5000000.0,2000.0,7/10,0.7000000000000001,-34914000.0,0.0,0.00%,14000.0
2025-06-13 18:33:45,buy,50000000,0.1,5000000.0,2000.0,8/10,0.8,-39916000.0,0.0,0.00%,16000.0
2025-06-13 18:38:45,buy,50000000,0.1,5000000.0,2000.0,9/10,0.9,-44918000.0,0.0,0.00%,18000.0
2025-06-13 18:43:45,buy,50000000,0.1,5000000.0,2000.0,10/10,1.0,-49920000.0,0.0,0.00%,20000.0
2025-06-13 18:58:45,sell,51000000,0.1,5100000.0,2000.0,1/10,0.9,-44822000.0,5098000.0,5098.00%,22000.0
2025-06-13 19:03:45,sell,51000000,0.1,5100000.0,2000.0,2/10,0.8,-39724000.0,10196000.0,10196.00%,24000.0
2025-06-13 19:08:45,sell,51000000,0.1,5100000.0,2000.0,3/10,0.7,-34626000.0,15294000.0,15294.00%,26000.0
2025-06-13 19:13:45,sell,51000000,0.1,5100000.0,2000.0,4/10,0.6,-29528000.0,20392000.0,20392.00%,28000.0
2025-06-13 19:18:45,sell,51000000,0.1,5100000.0,2000.0,5/10,0.5,-24430000.0,25490000.0,25490.00%,30000.0
2025-06-13 19:23:45,sell,51000000,0.1,5100000.0,2000.0,6/10,0.3999999999999999,-19332000.0,30588000.0,30588.00%,32000.0
2025-06-13 19:28:45,sell,51000000,0.1,5100000.0,2000.0,7/10,0.29999999999999993,-14234000.0,35686000.0,35686.00%,34000.0
2025-06-13 19:33:45,sell,51000000,0.1,5100000.0,2000.0,8/10,0.19999999999999996,-9136000.0,40784000.0,40784.00%,36000.0
2025-06-13 19:38:45,sell,51000000,0.1,5100000.0,2000.0,9/10,0.09999999999999998,-4038000.0,45882000.0,45882.00%,38000.0
2025-06-13 19:43:45,sell,51000000,0.1,5100000.0,2000.0,10/10,0.0,1060000.0,50980000.0,50980.00%,40000.0
