시간,거래유형,가격,수량,수수료,포지션,잔고
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00199920,"900,000"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00003842,"999,960"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00203762,"899,960"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00007683,"999,920"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00207603,"899,920"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00011525,"999,880"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00211445,"899,880"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00015366,"999,840"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00215286,"899,840"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00019208,"999,800"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00219128,"899,800"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00023049,"999,760"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00222969,"899,760"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00026891,"999,720"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00226811,"899,720"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00030733,"999,680"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00230653,"899,680"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00034574,"999,640"
2025-06-14 21:06:45,buy,"50,000,000",0.00199920,40,0.00234494,"899,640"
2025-06-14 21:06:45,sell,"51,000,000",0.00196078,40,0.00038416,"999,600"
