시간,거래유형,가격,수량,거래금액,수수료,분할,보유수량,잔고,누적수익,누적수익률,누적수수료
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.0019992,900000.0,0.0,0.00%,40.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,3.841568627450985e-05,999960.0,99960.0,10.00%,80.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.00203761568627451,899960.0,99960.0,10.00%,120.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,7.68313725490197e-05,999920.0,199920.0,19.99%,160.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.0020760313725490197,899920.0,199920.0,19.99%,200.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,0.00011524705882352956,999880.0,299880.0,29.99%,240.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.0021144470588235296,899880.0,299880.0,29.99%,280.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,0.0001536627450980394,999840.0,399840.0,39.98%,320.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.0021528627450980394,899840.0,399840.0,39.98%,360.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,0.00019207843137254927,999800.0,499800.0,49.98%,400.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.0021912784313725493,899800.0,499800.0,49.98%,440.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,0.00023049411764705912,999760.0,599760.0,59.98%,480.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.002229694117647059,899760.0,599760.0,59.98%,520.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,0.000268909803921569,999720.0,699720.0,69.97%,560.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.002268109803921569,899720.0,699720.0,69.97%,600.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,0.0003073254901960788,999680.0,799680.0,79.97%,640.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.002306525490196079,899680.0,799680.0,79.97%,680.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,0.0003457411764705887,999640.0,899640.0,89.96%,720.0
2025-06-14 20:52:54,buy,50000000,0.0019992,99960.0,40.0,1/1,0.0023449411764705887,899640.0,899640.0,89.96%,760.0
2025-06-14 20:52:54,sell,51000000,0.00196078431372549,100000.0,40.0,1/1,0.00038415686274509853,999600.0,999600.0,99.96%,800.0
